GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
79185,3.00,-0.31,8.26,-0.40,-1.00,-0.87,0
79195,0.81,-0.93,9.44,-0.37,-0.63,-0.86,0
79205,-0.71,-1.65,10.42,-0.23,-0.32,-0.67,0
79215,-0.24,-1.18,10.51,-0.06,-0.21,-0.47,0
79225,0.32,-0.76,10.36,0.09,-0.18,-0.33,0
79235,0.75,-0.38,9.73,0.17,-0.23,-0.26,0
79245,1.29,0.02,8.81,0.17,-0.28,-0.26,0
79255,1.48,0.02,8.34,0.11,-0.18,-0.28,0
79265,1.48,-0.35,8.21,0.04,-0.00,-0.29,0
79275,1.48,-0.63,8.33,-0.02,0.12,-0.30,0
79285,1.18,-0.25,8.82,-0.06,0.22,-0.31,0
79295,0.69,-0.18,9.62,-0.04,0.29,-0.31,0
79305,0.52,-0.22,9.83,0.00,0.28,-0.32,0
79315,0.52,-0.24,9.74,0.02,0.26,-0.35,0
79325,0.20,-0.40,9.97,0.03,0.25,-0.36,0
79335,0.08,-0.47,10.39,0.08,0.20,-0.35,0
79345,0.01,-0.62,10.64,0.16,0.13,-0.31,0
79355,-0.06,-0.71,10.45,0.23,0.03,-0.25,0
79365,-0.06,-0.68,9.96,0.24,-0.12,-0.19,0
79375,0.39,-0.45,9.20,0.19,-0.26,-0.15,0
79385,0.87,-0.19,8.44,0.05,-0.34,-0.16,0
79395,0.77,-0.18,8.52,-0.09,-0.31,-0.19,0
79405,0.57,-0.24,9.11,-0.17,-0.21,-0.18,0
79415,0.57,-0.24,9.48,-0.16,-0.08,-0.15,0
79425,0.51,-0.16,9.79,-0.10,0.07,-0.09,0
79435,0.49,-0.12,9.95,-0.02,0.18,-0.04,0
79445,0.56,-0.08,9.79,0.06,0.19,-0.00,0
79455,0.55,-0.07,9.76,0.10,0.13,0.02,0
79465,0.61,-0.06,9.76,0.13,0.06,0.03,0
79475,0.62,-0.17,9.75,0.15,0.02,0.04,0
79485,0.84,-0.18,9.83,0.16,0.03,0.04,0
79495,0.98,-0.17,9.74,0.16,0.00,0.03,0
79505,1.11,-0.15,9.57,0.16,-0.02,0.00,0
79515,1.20,-0.20,9.38,0.15,-0.01,-0.02,0
79525,1.23,-0.20,9.08,0.13,0.01,-0.04,0
79535,1.13,-0.19,9.07,0.09,0.04,-0.06,0
79545,1.00,-0.23,9.42,0.09,0.07,-0.06,0
79555,0.88,-0.35,9.61,0.10,0.08,-0.04,0
79565,0.69,-0.41,9.60,0.12,0.06,-0.00,0
79575,0.75,-0.39,9.46,0.13,0.02,0.02,0
79585,0.91,-0.34,9.30,0.11,-0.02,0.03,0
79595,0.91,-0.32,9.17,0.09,-0.04,0.03,0
79605,0.97,-0.24,9.21,0.07,-0.05,0.02,0
79615,1.01,-0.26,9.38,0.05,-0.06,0.01,0
79625,1.01,-0.25,9.53,0.05,-0.07,-0.00,0
79635,1.10,-0.20,9.51,0.05,-0.05,-0.02,0
79645,1.17,-0.18,9.40,0.05,0.01,-0.03,0
79655,1.16,-0.19,9.28,0.06,0.05,-0.03,0
79665,1.06,-0.24,9.11,0.06,0.08,-0.02,0
79675,1.00,-0.27,9.03,0.05,0.07,-0.00,0
79685,1.00,-0.20,9.11,0.04,0.04,0.01,0
79695,1.01,-0.15,9.39,0.04,0.01,0.03,0
79705,0.98,-0.14,9.60,0.06,-0.00,0.03,0
79715,0.98,-0.11,9.61,0.09,0.00,0.03,0
79725,1.03,-0.13,9.58,0.10,0.02,0.02,0
79735,1.04,-0.15,9.47,0.11,0.04,0.01,0
79745,0.89,-0.17,9.45,0.10,0.04,0.00,0
79755,0.89,-0.08,9.55,0.09,0.02,-0.01,0
79765,0.89,-0.03,9.59,0.07,0.02,-0.01,0
79775,0.94,-0.01,9.56,0.06,0.02,-0.01,0
79785,0.95,-0.06,9.51,0.06,0.01,-0.00,0
79795,0.96,-0.08,9.37,0.06,-0.01,0.01,0
79805,0.96,-0.09,9.34,0.06,-0.02,0.02,0
79815,0.92,-0.09,9.36,0.05,-0.01,0.03,0
79825,0.89,-0.11,9.36,0.05,0.01,0.03,0
79835,0.89,-0.12,9.26,0.03,0.01,0.03,0
79845,0.87,-0.15,9.28,0.01,0.01,0.02,0
79855,0.88,-0.11,9.40,-0.00,0.01,0.01,0
79865,0.86,-0.04,9.51,-0.00,0.01,-0.00,0
79875,0.83,-0.05,9.63,0.01,0.04,-0.02,0
79885,0.83,-0.04,9.68,0.04,0.07,-0.02,0
79895,0.87,-0.05,9.52,0.06,0.07,-0.02,0
79905,0.92,-0.08,9.32,0.07,0.07,-0.01,0
79915,0.94,-0.10,9.24,0.06,0.07,-0.00,0
79925,0.95,-0.12,9.18,0.06,0.07,0.01,0
79935,0.90,-0.10,9.20,0.04,0.08,0.01,0
79945,0.76,-0.09,9.41,0.03,0.06,0.01,0
79954,0.60,-0.10,9.71,0.03,0.04,0.01,0
79976,0.68,-0.07,9.57,0.04,-0.00,0.00,0
79999,0.90,-0.06,9.36,0.04,-0.00,-0.00,0
80014,0.89,-0.02,9.31,0.03,0.01,-0.01,0
80024,0.87,-0.02,9.38,0.04,0.04,-0.01,0
80033,0.86,-0.05,9.35,0.05,0.06,-0.00,0
80047,0.76,-0.11,9.38,0.05,0.06,0.01,0
80061,0.73,-0.13,9.52,0.05,0.04,0.01,0
80069,0.62,-0.08,9.62,0.05,0.02,0.01,0
80082,0.57,-0.04,9.74,0.07,0.01,0.02,0
80099,0.85,-0.05,9.19,0.04,-0.02,0.01,0
80117,0.92,-0.06,9.19,0.00,-0.03,0.01,0
80126,0.89,-0.06,9.34,-0.00,-0.01,0.01,0
80135,0.85,-0.05,9.42,0.01,-0.00,0.01,0
80144,0.77,-0.08,9.48,0.02,-0.00,0.01,0
