DST,DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
426243,3798,426249,0.26,-0.03,9.43,0.02,-0.02,0.00,0
426255,3798,426261,0.26,-0.02,9.39,0.02,-0.02,0.00,0
426267,3797,426273,0.27,-0.01,9.33,0.03,-0.02,0.00,0
426279,3797,426285,0.27,-0.02,9.38,0.03,-0.02,0.00,0
426291,3797,426297,0.25,-0.03,9.46,0.03,-0.02,0.00,0
426303,3000,426309,0.24,-0.05,9.49,0.02,-0.02,0.00,0
426315,3793,426321,0.24,-0.04,9.50,0.02,-0.02,0.00,0
426327,3883,426333,0.21,-0.05,9.38,0.02,-0.02,0.00,0
426339,3797,426345,0.23,-0.04,9.33,0.02,-0.02,0.00,0
426351,3797,426357,0.26,-0.04,9.37,0.02,-0.02,0.00,0
426363,3797,426369,0.28,-0.04,9.43,0.03,-0.02,0.00,0
426375,3797,426381,0.28,-0.02,9.48,0.02,-0.02,0.00,0
426387,3797,426393,0.28,-0.04,9.46,0.02,-0.02,0.00,0
426399,3797,426405,0.23,-0.02,9.40,0.02,-0.02,0.00,0
426411,3797,426417,0.23,-0.04,9.38,0.02,-0.02,0.00,0
426423,3797,426429,0.22,-0.03,9.41,0.03,-0.02,0.00,0
426435,3798,426441,0.22,-0.04,9.44,0.02,-0.02,0.00,0
426447,3798,426453,0.23,-0.04,9.48,0.02,-0.02,0.00,0
426459,3798,426465,0.23,-0.04,9.45,0.02,-0.02,0.00,0
426471,3798,426477,0.23,-0.05,9.40,0.02,-0.02,0.00,0
426483,3798,426489,0.25,-0.05,9.36,0.02,-0.02,0.00,0
426495,3797,426501,0.25,-0.03,9.39,0.02,-0.02,0.00,0
426507,3798,426513,0.26,-0.01,9.44,0.02,-0.02,0.00,0
426519,3797,426525,0.24,-0.02,9.42,0.02,-0.02,0.00,0
426531,3798,426537,0.23,-0.02,9.40,0.02,-0.02,0.00,0
426543,3798,426549,0.22,-0.01,9.41,0.02,-0.02,0.00,0
426555,3797,426561,0.23,-0.04,9.38,0.02,-0.02,0.00,0
426567,3798,426573,0.23,-0.05,9.43,0.02,-0.02,0.00,0
426579,3797,426585,0.24,-0.05,9.42,0.02,-0.02,0.00,0
426591,3797,426597,0.24,-0.04,9.41,0.02,-0.02,0.00,0
426603,3797,426609,0.26,-0.05,9.40,0.02,-0.02,0.00,0
426615,3798,426621,0.26,-0.04,9.39,0.02,-0.02,0.00,0
426627,3798,426633,0.27,-0.02,9.41,0.02,-0.02,0.00,0
426639,3798,426645,0.25,-0.02,9.44,0.02,-0.02,0.00,0
426651,3798,426657,0.23,-0.02,9.42,0.02,-0.02,0.00,0
426663,3798,426669,0.22,-0.02,9.41,0.02,-0.02,0.00,0
426675,3798,426681,0.23,-0.03,9.40,0.02,-0.02,0.00,0
426687,3798,426693,0.21,-0.06,9.41,0.02,-0.02,0.00,0
426699,3797,426705,0.22,-0.06,9.42,0.02,-0.02,0.00,0
426711,3797,426717,0.24,-0.06,9.43,0.02,-0.02,0.00,0
426723,3798,426729,0.26,-0.06,9.41,0.02,-0.02,0.00,0
426735,3797,426741,0.24,-0.04,9.41,0.02,-0.02,0.00,0
426747,3798,426753,0.23,-0.03,9.42,0.02,-0.02,0.00,0
426759,3616,426765,0.24,-0.01,9.43,0.02,-0.02,0.00,0
426771,3794,426777,0.24,-0.02,9.40,0.02,-0.02,0.00,0
426782,3250,426787,0.23,-0.01,9.40,0.02,-0.02,0.00,0
426796,10408,426809,0.25,-0.03,9.40,0.02,-0.02,0.00,0
426837,3314,426843,0.23,-0.07,9.42,0.02,-0.02,0.00,0
426850,3154,426856,0.25,-0.06,9.40,0.02,-0.02,0.00,0
426861,3282,426867,0.25,-0.05,9.40,0.02,-0.02,0.00,0
426873,0,426973,0.23,-0.06,9.41,0.02,-0.02,0.00,0
426979,3555,426985,0.25,-0.02,9.41,0.02,-0.02,0.00,0
426989,1814,426993,0.26,-0.03,9.43,0.02,-0.02,0.00,0
426998,2344,427003,0.25,-0.03,9.41,0.02,-0.02,0.00,0
427008,1859,427012,0.28,-0.02,9.42,0.02,-0.02,0.00,0
427016,3150,427022,0.25,-0.02,9.46,0.02,-0.02,0.00,0
