DIS,GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
0.0,345.0,-2.46,-0.29,0.81,-0.23,0.29,0.19,0
29.0,353.0,-5.97,-0.66,2.04,-0.21,0.35,0.2,0
30.0,361.0,-7.19,-0.62,2.51,-0.18,0.5,0.2,0
30.0,369.0,-7.67,-0.34,2.45,-0.17,0.68,0.18,0
30.0,377.0,-8.09,-0.08,2.21,-0.19,0.84,0.14,0
30.0,385.0,-8.42,0.06,1.95,-0.24,0.94,0.13,0
30.0,393.0,-8.59,0.04,1.77,-0.32,1.02,0.15,0
30.0,401.0,-8.54,-0.04,1.81,-0.4,1.13,0.18,0
30.0,409.0,-8.27,-0.12,1.95,-0.46,1.23,0.21,0
30.0,417.0,-7.91,-0.23,2.14,-0.48,1.34,0.23,0
30.0,425.0,-7.68,-0.27,2.28,-0.45,1.41,0.23,0
30.0,433.0,-7.76,-0.25,2.36,-0.39,1.44,0.2,0
30.0,441.0,-8.1,-0.09,2.26,-0.29,1.44,0.16,0
30.0,449.0,-8.36,0.18,1.99,-0.17,1.4,0.13,0
30.0,457.0,-8.31,0.32,1.58,-0.04,1.31,0.14,0
30.0,465.0,-8.03,0.41,1.17,0.08,1.22,0.17,0
30.0,473.0,-7.79,0.57,0.92,0.15,1.14,0.19,0
30.0,481.0,-7.69,0.82,0.87,0.17,1.11,0.19,0
30.0,489.0,-7.65,1.12,0.83,0.19,1.13,0.18,0
30.0,497.0,-7.74,1.47,0.43,0.19,1.17,0.14,0
30.0,505.0,-8.03,1.69,-0.14,0.18,1.18,0.1,0
30.0,513.0,-8.4,1.75,-0.7,0.15,1.12,0.09,0
30.0,521.0,-8.7,1.69,-1.03,0.1,1.01,0.12,0
30.0,529.0,-8.84,1.48,-1.21,0.01,0.87,0.15,0
30.0,537.0,-8.81,1.11,-1.31,-0.15,0.7,0.14,0
30.0,545.0,-8.66,0.64,-1.25,-0.33,0.53,0.09,0
30.0,553.0,-8.62,0.28,-1.04,-0.5,0.35,0.0,0
30.0,561.0,-8.83,-0.0,-0.57,-0.64,0.13,-0.11,0
30.0,569.0,-9.13,-0.42,0.06,-0.74,-0.12,-0.22,0
30.0,577.0,-9.31,-0.99,0.73,-0.76,-0.32,-0.3,0
30.0,585.0,-9.49,-1.57,1.33,-0.73,-0.39,-0.36,0
30.0,593.0,-9.86,-2.04,1.82,-0.64,-0.37,-0.4,0
30.0,601.0,-10.36,-2.32,2.09,-0.55,-0.32,-0.4,0
30.0,609.0,-10.82,-2.53,2.25,-0.47,-0.27,-0.39,0
30.0,617.0,-11.16,-2.81,2.41,-0.41,-0.21,-0.34,0
30.0,625.0,-11.34,-3.1,2.54,-0.35,-0.12,-0.27,0
30.0,633.0,-11.38,-3.26,2.53,-0.29,-0.01,-0.21,0
30.0,641.0,-11.38,-3.3,2.4,-0.23,0.12,-0.16,0
30.0,649.0,-11.6,-3.23,2.18,-0.17,0.23,-0.12,0
30.0,657.0,-11.93,-3.1,2.03,-0.13,0.27,-0.09,0
30.0,665.0,-12.06,-3.05,2.01,-0.11,0.21,-0.05,0
30.0,673.0,-11.83,-3.08,2.06,-0.06,0.13,-0.02,0
30.0,681.0,-11.39,-3.05,2.12,0.01,0.12,0.02,0
30.0,689.0,-10.9,-2.91,2.12,0.11,0.19,0.06,0
30.0,697.0,-10.3,-2.71,1.97,0.21,0.31,0.09,0
30.0,705.0,-9.66,-2.42,1.62,0.3,0.47,0.09,0
30.0,713.0,-9.27,-2.04,1.11,0.36,0.59,0.06,0
30.0,721.0,-9.17,-1.62,0.65,0.39,0.66,0.01,0
30.0,729.0,-9.27,-1.25,0.26,0.39,0.67,-0.04,0
30.0,737.0,-9.4,-0.96,-0.05,0.36,0.66,-0.07,0
30.0,745.0,-9.49,-0.76,-0.25,0.31,0.64,-0.08,0
30.0,753.0,-9.51,-0.68,-0.36,0.27,0.6,-0.07,0
30.0,761.0,-9.14,-0.69,-0.4,0.24,0.53,-0.04,0
30.0,769.0,-8.15,-0.7,-0.43,0.23,0.5,0.0,0
30.0,777.0,-7.2,-0.56,-0.49,0.23,0.59,0.0,0
30.0,785.0,-6.97,-0.23,-0.57,0.22,0.74,-0.05,0
30.0,793.0,-7.32,0.02,-0.78,0.19,0.83,-0.13,0
30.0,801.0,-7.89,0.08,-1.12,0.17,0.83,-0.21,0
30.0,809.0,-8.37,0.06,-1.42,0.14,0.74,-0.28,0
30.0,817.0,-8.76,0.01,-1.56,0.11,0.6,-0.31,0
30.0,825.0,-8.91,-0.03,-1.63,0.07,0.46,-0.3,0
30.0,833.0,-8.97,-0.03,-1.7,0.04,0.38,-0.29,0
30.0,841.0,-9.07,-0.05,-1.8,0.01,0.33,-0.28,0
30.0,849.0,-9.25,-0.11,-1.94,-0.03,0.29,-0.27,0
30.0,857.0,-9.49,-0.23,-2.05,-0.07,0.26,-0.26,0
30.0,865.0,-9.66,-0.39,-2.12,-0.11,0.19,-0.24,0
30.0,873.0,-9.53,-0.64,-2.17,-0.15,0.16,-0.21,0
30.0,881.0,-9.38,-0.9,-2.02,-0.19,0.18,-0.2,0
30.0,889.0,-9.46,-1.07,-1.78,-0.23,0.2,-0.21,0
30.0,897.0,-9.84,-1.2,-1.53,-0.25,0.17,-0.24,0
30.0,905.0,-10.33,-1.32,-1.28,-0.25,0.12,-0.26,0
30.0,913.0,-10.83,-1.42,-1.14,-0.24,0.06,-0.27,0
30.0,921.0,-11.25,-1.45,-1.12,-0.23,0.01,-0.26,0
30.0,929.0,-11.59,-1.47,-1.17,-0.23,-0.06,-0.23,0
30.0,937.0,-11.78,-1.55,-1.14,-0.25,-0.12,-0.18,0
30.0,945.0,-11.77,-1.67,-1.02,-0.28,-0.2,-0.12,0
30.0,953.0,-11.5,-1.7,-0.77,-0.29,-0.27,-0.07,0
30.0,961.0,-11.05,-1.65,-0.51,-0.28,-0.29,-0.03,0
30.0,969.0,-10.73,-1.62,-0.37,-0.25,-0.25,-0.01,0
30.0,977.0,-10.69,-1.58,-0.36,-0.22,-0.18,0.01,0
30.0,985.0,-10.77,-1.6,-0.26,-0.21,-0.14,0.05,0
30.0,993.0,-10.78,-1.65,-0.06,-0.2,-0.1,0.1,0
30.0,1001.0,-10.61,-1.61,0.19,-0.18,-0.04,0.15,0
30.0,1009.0,-10.38,-1.51,0.29,-0.14,0.02,0.19,0
30.0,1017.0,-10.15,-1.38,0.25,-0.09,0.07,0.2,0
30.0,1025.0,-10.03,-1.25,0.02,-0.05,0.12,0.21,0
30.0,1033.0,-10.05,-1.17,-0.31,-0.04,0.13,0.21,0
30.0,1041.0,-10.05,-1.13,-0.53,-0.06,0.12,0.22,0
30.0,1049.0,-9.9,-1.17,-0.62,-0.09,0.1,0.24,0
30.0,1057.0,-9.61,-1.21,-0.53,-0.13,0.09,0.25,0
30.0,1065.0,-9.39,-1.25,-0.27,-0.16,0.07,0.24,0
30.0,1073.0,-9.16,-1.26,-0.07,-0.16,0.01,0.19,0
30.0,1081.0,-8.93,-1.28,0.15,-0.14,-0.06,0.12,0
30.0,1089.0,-8.86,-1.31,0.27,-0.09,-0.1,0.05,0
30.0,1097.0,-8.96,-1.31,0.28,-0.03,-0.07,-0.0,0
30.0,1105.0,-9.19,-1.25,0.18,0.04,-0.0,-0.02,0
30.0,1113.0,-9.49,-1.15,-0.1,0.09,0.07,-0.01,0
30.0,1121.0,-9.68,-1.09,-0.5,0.1,0.11,0.01,0
30.0,1129.0,-9.78,-1.01,-0.86,0.09,0.09,0.03,0
30.0,1137.0,-9.77,-0.99,-1.07,0.05,0.01,0.03,0
30.0,1145.0,-9.67,-1.02,-1.09,-0.01,-0.09,0.03,1
30.0,1154.0,-9.57,-1.13,-0.89,-0.08,-0.17,0.03,1
30.0,1163.0,-9.54,-1.22,-0.57,-0.12,-0.21,0.05,1
18.0,1171.0,-9.46,-1.25,-0.23,-0.13,-0.21,0.07,1
30.0,1179.0,-9.4,-1.31,0.05,-0.11,-0.18,0.1,1
30.0,1187.0,-9.39,-1.3,0.2,-0.06,-0.18,0.09,1
30.0,1195.0,-9.28,-1.19,0.21,0.01,-0.26,0.06,1
30.0,1203.0,-9.13,-1.12,0.16,0.08,-0.35,0.01,1
30.0,1211.0,-9.15,-1.06,0.06,0.14,-0.42,-0.05,1
30.0,1219.0,-9.33,-0.98,0.0,0.18,-0.48,-0.1,1
30.0,1227.0,-9.54,-0.91,-0.09,0.22,-0.54,-0.14,1
30.0,1235.0,-9.47,-0.83,-0.26,0.24,-0.57,-0.13,1
30.0,1243.0,-9.21,-0.69,-0.51,0.25,-0.5,-0.09,1
30.0,1251.0,-9.09,-0.57,-0.87,0.23,-0.36,-0.04,1
30.0,1259.0,-9.24,-0.52,-1.18,0.17,-0.24,-0.0,1
30.0,1267.0,-9.6,-0.59,-1.25,0.08,-0.2,0.04,1
30.0,1275.0,-9.81,-0.7,-1.15,-0.02,-0.25,0.07,1
30.0,1283.0,-9.67,-0.88,-0.82,-0.1,-0.37,0.09,1
30.0,1291.0,-9.28,-0.95,-0.42,-0.14,-0.49,0.09,1
30.0,1299.0,-8.85,-0.95,-0.05,-0.15,-0.54,0.07,1
30.0,1307.0,-8.67,-0.83,0.13,-0.14,-0.48,0.03,1
30.0,1315.0,-8.87,-0.72,0.13,-0.12,-0.39,-0.0,1
30.0,1323.0,-9.27,-0.73,0.06,-0.1,-0.34,-0.02,1
30.0,1331.0,-9.52,-0.81,0.02,-0.1,-0.35,-0.02,1
30.0,1339.0,-9.36,-0.91,0.02,-0.1,-0.36,-0.01,1
30.0,1347.0,-9.09,-0.97,0.09,-0.09,-0.33,-0.0,1
30.0,1355.0,-8.95,-0.99,0.11,-0.1,-0.26,-0.0,1
30.0,1363.0,-9.05,-1.02,0.14,-0.1,-0.19,-0.01,1
30.0,1371.0,-9.2,-1.11,0.17,-0.13,-0.19,-0.02,1
30.0,1379.0,-9.36,-1.13,0.33,-0.15,-0.23,-0.03,1
30.0,1387.0,-9.44,-1.14,0.5,-0.15,-0.26,-0.04,1
30.0,1395.0,-9.5,-1.11,0.63,-0.12,-0.24,-0.04,1
30.0,1403.0,-9.61,-1.08,0.63,-0.08,-0.2,-0.04,1
30.0,1411.0,-9.7,-1.01,0.52,-0.04,-0.16,-0.04,1
30.0,1419.0,-9.73,-0.96,0.39,-0.0,-0.13,-0.03,1
30.0,1427.0,-9.72,-0.97,0.22,0.02,-0.09,-0.01,1
30.0,1435.0,-9.69,-1.02,0.08,0.02,-0.06,-0.0,1
30.0,1443.0,-9.67,-1.08,0.04,0.02,-0.02,0.0,1
30.0,1451.0,-9.72,-1.09,0.04,0.01,0.01,-0.0,1
30.0,1459.0,-9.75,-1.05,0.07,0.01,0.01,-0.0,1
30.0,1467.0,-9.77,-1.02,0.08,0.0,-0.0,0.0,1
30.0,1475.0,-9.78,-1.06,0.14,0.0,-0.03,-0.0,1
30.0,1483.0,-9.75,-1.09,0.23,0.01,-0.06,-0.0,1
30.0,1491.0,-9.69,-1.12,0.29,0.01,-0.06,-0.0,1
30.0,1499.0,-9.66,-1.15,0.32,0.02,-0.05,-0.01,1
30.0,1507.0,-9.73,-1.14,0.32,0.03,-0.04,-0.01,1
30.0,1515.0,-9.82,-1.11,0.31,0.03,-0.05,0.0,1
30.0,1523.0,-9.85,-1.1,0.29,0.03,-0.07,0.01,1
30.0,1531.0,-9.82,-1.14,0.29,0.03,-0.09,0.02,1
30.0,1539.0,-9.75,-1.16,0.31,0.03,-0.1,0.03,1
30.0,1547.0,-9.68,-1.15,0.33,0.03,-0.1,0.04,1
30.0,1555.0,-9.61,-1.11,0.37,0.04,-0.09,0.05,1
30.0,1563.0,-9.62,-1.09,0.34,0.04,-0.08,0.06,1
30.0,1571.0,-9.68,-1.12,0.37,0.04,-0.09,0.07,1
30.0,1579.0,-9.65,-1.17,0.44,0.04,-0.1,0.08,1
30.0,1587.0,-9.56,-1.21,0.51,0.05,-0.09,0.09,1
30.0,1595.0,-9.46,-1.24,0.54,0.07,-0.09,0.09,1
30.0,1603.0,-9.42,-1.21,0.56,0.09,-0.1,0.09,1
30.0,1611.0,-9.33,-1.2,0.56,0.1,-0.12,0.07,1
30.0,1619.0,-9.26,-1.17,0.6,0.11,-0.14,0.04,1
30.0,1627.0,-9.17,-1.13,0.62,0.13,-0.13,0.02,1
30.0,1635.0,-9.18,-1.09,0.57,0.15,-0.11,0.01,1
30.0,1643.0,-9.26,-1.01,0.46,0.16,-0.09,-0.0,1
30.0,1651.0,-9.34,-0.92,0.32,0.17,-0.07,-0.0,1
30.0,1659.0,-9.47,-0.84,0.19,0.16,-0.05,0.0,1
30.0,1667.0,-9.62,-0.81,0.06,0.14,-0.05,0.02,1
30.0,1675.0,-9.66,-0.86,-0.02,0.11,-0.07,0.04,1
30.0,1683.0,-9.54,-0.91,0.0,0.08,-0.1,0.06,1
30.0,1691.0,-9.42,-0.96,0.14,0.05,-0.12,0.07,1
30.0,1699.0,-9.33,-1.02,0.33,0.03,-0.14,0.07,1
30.0,1707.0,-9.21,-1.03,0.52,0.03,-0.16,0.05,1
30.0,1715.0,-9.11,-1.04,0.68,0.04,-0.15,0.03,1
30.0,1723.0,-9.14,-1.05,0.75,0.06,-0.13,0.01,1
30.0,1731.0,-9.27,-1.02,0.78,0.09,-0.11,-0.01,1
30.0,1739.0,-9.36,-0.97,0.69,0.12,-0.09,-0.02,1
30.0,1747.0,-9.34,-0.9,0.53,0.14,-0.06,-0.02,1
30.0,1755.0,-9.34,-0.85,0.32,0.14,-0.03,-0.01,1
30.0,1763.0,-9.39,-0.86,0.14,0.12,0.0,-0.01,1
30.0,1771.0,-9.53,-0.85,0.11,0.09,0.0,-0.01,1
30.0,1779.0,-9.59,-0.84,0.11,0.06,-0.02,-0.0,1
30.0,1787.0,-9.64,-0.85,0.16,0.03,-0.04,0.01,1
30.0,1795.0,-9.67,-0.86,0.24,0.01,-0.05,0.01,1
30.0,1803.0,-9.73,-0.85,0.25,0.0,-0.07,0.01,1
30.0,1811.0,-9.72,-0.85,0.32,0.0,-0.09,0.02,1
30.0,1819.0,-9.6,-0.81,0.36,0.01,-0.1,0.03,1
30.0,1827.0,-9.45,-0.74,0.28,0.02,-0.09,0.04,1
30.0,1835.0,-9.47,-0.67,0.08,0.02,-0.07,0.04,1
30.0,1843.0,-9.61,-0.7,-0.11,-0.01,-0.08,0.04,1
30.0,1851.0,-9.7,-0.77,-0.11,-0.04,-0.11,0.05,1
30.0,1859.0,-9.68,-0.92,0.06,-0.08,-0.15,0.05,1
30.0,1867.0,-9.53,-1.04,0.34,-0.1,-0.17,0.06,1
30.0,1875.0,-9.31,-1.12,0.65,-0.1,-0.16,0.06,1
30.0,1883.0,-9.17,-1.14,0.92,-0.07,-0.11,0.05,1
30.0,1891.0,-9.17,-1.14,1.03,-0.03,-0.06,0.03,1
30.0,1899.0,-9.24,-1.11,0.98,0.03,-0.04,-0.0,1
30.0,1907.0,-9.37,-1.08,0.81,0.06,-0.03,-0.03,1
30.0,1915.0,-9.45,-1.06,0.61,0.07,-0.03,-0.04,1
30.0,1923.0,-9.54,-1.06,0.47,0.06,-0.03,-0.05,1
30.0,1931.0,-9.63,-1.06,0.44,0.04,-0.03,-0.04,1
30.0,1939.0,-9.7,-1.04,0.48,0.03,-0.05,-0.03,1
30.0,1947.0,-9.69,-1.04,0.63,0.02,-0.07,-0.02,2
30.0,1956.0,-9.61,-1.04,0.7,0.03,-0.06,0.0,2
30.0,1964.0,-9.49,-0.94,0.65,0.04,-0.01,0.02,2
30.0,1973.0,-9.53,-0.83,0.43,0.04,0.04,0.03,2
30.0,1981.0,-9.61,-0.79,0.32,0.03,0.03,0.03,2
30.0,1989.0,-9.63,-0.82,0.27,0.01,0.01,0.03,2
30.0,1998.0,-9.57,-0.81,0.32,-0.0,-0.01,0.03,2
30.0,2006.0,-9.55,-0.79,0.39,-0.0,-0.01,0.04,2
30.0,2014.0,-9.52,-0.81,0.47,0.0,-0.01,0.05,2
30.0,2023.0,-9.4,-0.85,0.54,0.01,-0.01,0.06,2
30.0,2031.0,-9.26,-0.85,0.62,0.03,-0.01,0.05,2
30.0,2039.0,-9.13,-0.84,0.65,0.06,-0.02,0.03,2
30.0,2047.0,-9.01,-0.81,0.64,0.09,-0.02,0.0,2
30.0,2055.0,-9.02,-0.71,0.49,0.12,0.0,-0.03,2
30.0,2063.0,-9.17,-0.57,0.22,0.13,0.03,-0.05,2
30.0,2071.0,-9.37,-0.48,-0.07,0.12,0.05,-0.05,2
30.0,2079.0,-9.56,-0.48,-0.22,0.08,0.04,-0.03,2
30.0,2087.0,-9.61,-0.45,-0.22,0.03,0.03,0.0,2
30.0,2095.0,-9.47,-0.45,-0.16,-0.01,0.04,0.04,2
30.0,2103.0,-9.31,-0.42,-0.12,-0.05,0.07,0.06,2
30.0,2111.0,-9.23,-0.46,-0.07,-0.08,0.09,0.07,2
30.0,2119.0,-9.17,-0.56,0.07,-0.11,0.08,0.06,2
30.0,2127.0,-9.1,-0.67,0.24,-0.13,0.04,0.04,2
30.0,2135.0,-9.03,-0.79,0.44,-0.13,0.01,0.01,2
30.0,2143.0,-9.1,-0.93,0.61,-0.12,0.01,-0.02,2
